Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha
Masculino,38,Nacional,Excelente,5,50,"""Imponente""","""Es una construcción imponente desde que te vas acercando y la ves a lo lejos te sorprende su magnifica arquitectura. Tiene una gran cantidad de escalones en los cuales al llegar a lo mas alto podrás ver una parte de la ciudad.""",México,Español,PC,29/5/2018
Masculino,60,Internacional,Excelente,5,12,"""Explore the inside!""","""The steps are beautiful for views and exersize but use the opportunity to walk inside, watch the old library and the museum, art exhibitions, the old fantastic doors and architecture, the wandering students and professors, Sometimes they show movies and other activities for free that may be of interest, and if you speak some spanish people are more than willing to give you information about the attractions of this marvellous campus.""",Estados Unidos,Inglés,PC,26/5/2018
Femenino,22,Internacional,Excelente,5,89,"""Excelente""","""El lugar es fantástico y tiene una envidia arquitectónico. Para las personas que disfrutan de los edificios que miran bien hecho y tomar fotos con un fondo hermoso paisaje, es un lugar maravilloso.""",Portugal,Portugés,PC,25/5/2018
Femenino,49,Nacional,Excelente,5,4,"""Espectácular""","""Me gusto la arquitectura del edificio y las hermosas escaleras. Si subes las escaleras, apreciaras una hermosa vista de Guanajuato.""",México,Español,PC,20/5/2018
Femenino,23,Internacional,Excelente,5,3,"""Lugar imperdible de Guanajuato""","""Edificación que de día o de noche es imagen que no se olvida, subir sus escaleras te hace sentir que estás en hogwarts (si te gusta el mundo de fantasía de Harry Potter). Es una de las fachadas de universidad más bonita que he visto.""",Chile,Español,Móvil,6/5/2018
Femenino,34,Internacional,Excelente,5,106,"""Cuando un joven y vibrante""","""Antes de que los edificios bien construidos, los estudiantes utilizan para sentarse en las escaleras. Nahu y me siento bien el estado de ánimo de la ATO haebogil recomiendo visitar al menos una vez.""",Corea del Sur,Coreano,PC,5/5/2018
Masculino,30,Internacional,Excelente,5,62,"""Beautiful and in the center of the town""","""A great place to visit and hang out with the students and city on the steps of the building and have an icecream.""",Estados Unidos,Inglés,PC,1/5/2018
Femenino,29,Internacional,Excelente,5,18,"""ARQUITECTURA MARAVILLOSA""","""Fantástica arquitectura, nos encantó tanto la arquitectura externa como las instalaciones además fuimos en un cervantino fue increíble de verdad!""",Perú,Español,PC,30/4/2018
Masculino,35,Nacional,Excelente,5,32,"""Hermosa y Colonial""","""Sin duda la infraestructura de este hermoso lugar hace que al visitar la Ciudad de Guanajuato tengas que visitar uno de los edificios mas importantes y con una larga historia .""",México,Español,PC,27/4/2018
Masculino,22,Internacional,Muy bueno,4,578,"""Intereating history here....""","""We had hired a guide who actually went to university here, so the inside story was great. Opted not to cl8mb these steps, but do go into adjacent buildings where some of the history is displayed. Some evenings, they put up a big screen and show movies at the bottom of these steps... kinda fun!""",Estados Unidos,Inglés,PC,23/4/2018
Masculino,27,Nacional,Excelente,5,134,"""Muy lindo lugar""","""La máxima casa de estudios de Guanajuato, una infraestructura, impresionante y muy bella, si subes los escalones tendrás una vista hacia el centro de la ciudad que es imperdible.""",México,Español,PC,17/4/2018
Masculino,,Nacional,Regular,3,19,"""Un clásico… para conocer""","""De día o de noche es un lugar para la foto, está muy cerca de la plaza de la Paz. Venden muchas cosas para comer me gustó que si presentas tu credencial de estudiante te hacen descuento en la comida como hojaldras, empanadas etc. Por lo mismo qué circula mucho estudiante. Vayan todo en el centro.""",México,Español,Móvil,16/4/2018
Femenino,,Internacional,Muy bueno,4,4,"""Beautiful building""","""So many stairs, but worth the view once your at the top. Great workout on those stairs. Nice building to visit.""",Estados Unidos,Inglés,PC,16/4/2018
Masculino,48,Internacional,Excelente,5,54,"""Iconic university""","""Beautiful university. You must climb the stairs for a picture. You can recognize the university from all over the city.""",Estados Unidos,Inglés,Móvil,16/4/2018
Masculino,,Nacional,Excelente,5,6,"""Imponente""","""Buen ambiente...gran construcción y estilo...si bien no ofrece ningun servicio es una parada obligatoria en guanajuato la cual es una ciudad expectacular.""",México,Español,Móvil,9/4/2018
Femenino,31,Nacional,Excelente,5,49,"""¡Hermosa!""","""Hermoso edificio que permite admirar la tradicional cantera Guanajuatense, no pudimos entrar pero sin duda es una parada obligatoria para tomar una buena foto.""",México,Español,Móvil,5/4/2018
Femenino,70,Internacional,Regular,3,413,"""Universidad de Guanajuato""","""Esto no quiere decir que lo que vas a ver, el edificio es un buen universidad. También hay una tienda de moda, puede comprar una mercancía logotipo de la universidad. No se puede evitar debido a que el soporte de la universidad, me gustaría y también hay un producto de más para los turistas.""",Japón,Japonés,PC,4/4/2018
Masculino,34,Nacional,Excelente,5,8,"""Muy bien""","""Muy bonito lugar para tomarse fotos, un imperdible de esta ciudad, muchos escalones pero vale la pena.""",México,Español,Móvil,2/4/2018
Femenino,45,Nacional,Excelente,5,123,"""¡DEBES IR!""","""Los callejones que te llevan a la universidad son muy lindos y cuando llegas encuentras unas grandes escaleras que te llevan a la universidad, fascinante! nos encanto el lugar, ¡si vas a Guanajuato debes conocer este monumento arquitectónico!""",México,Español,PC,2/4/2018
Femenino,39,Nacional,Muy bueno,4,8,"""Imperdible""","""Muy bonito lugar las escaleras espectaculares. Nos encantó el lugar. Es una zona muy segura. No debes dejar de tomarte la foto.""",México,Español,Móvil,1/4/2018
Masculino,58,Nacional,Excelente,5,43,"""De las fotos obligadas para Facebook e Instagram""","""Lo visitamos por la mañana y salieron fotos muy bonitas de todo el lugar pues la construcción por si misma es de llamar la atención.""",México,Español,PC,26/3/2018
Masculino,47,Nacional,Excelente,5,159,"""¡¡IMPRESIONANTE!!""","""Es impresionante encontrar esta joya arquitectónica, con 88 escalones que engalanan la entrada de esta extraordinaria Universidad.""",México,Español,PC,21/3/2018
Femenino,65,Internacional,Excelente,5,36,"""Hermoso edificio""","""Imponente edificio con una gran fachada y escaleras empinadas. Pasos ofrece ideal para grupo o familia de fotos.""",Alemania,Alemán,Móvil,21/3/2018
Masculino,22,Nacional,Excelente,5,56,"""Lo mejor de Guanajuato""","""Es el edificio más bonito de La Ciudad. Háganse todas las fotos que quieran. De verdad vale la pena pasar un buen rato ahí. Visítenlo varias veces para evitar las conglomeraciones que suele haber. Lo más importante es estar atentos al tráfico. Aunque haya policía cuidando a los vehículos estar al pendiente nunca sobra.""",México,Español,Móvil,19/3/2018
Femenino,44,Nacional,Excelente,5,32,"""¡Increíble!""","""Llegar arriba y ver la ciudad desde ahí! es increíble, una joya arquitectónica, vale la pena conocerla.""",México,Español,PC,16/3/2018
Masculino,41,Internacional,Muy bueno,4,56,"""Wonderful building""","""This is a great building that is best seen up close, as well as up from the Mirador with El Pipila. The flight of stairs are great fun to climb. I actually took some courses there once.""",Estados Unidos,Inglés,PC,14/3/2018
Masculino,28,Nacional,Excelente,5,92,"""Joya arquitectonica""","""Un bellísimo edificio que adorna las calles coloniales de una maravillosa ciudad. En ocasiones con eventos especiales. Las escalinatas no son para cualquiera ya que son muy pesadas. No lo recomiendo mucho en días de clases ya que hay flujo estudiantil.""",México,Español,PC,12/3/2018
Femenino,21,Nacional,Excelente,5,28,"""Edificio impresionante""","""En edificio con mucha historia que se conserva en un excelente estado a pesar de tantos años. Vale la pena visitar (es sin costo)""",México,Español,Móvil,11/3/2018
Masculino,26,Internacional,Muy bueno,4,150,"""Los callejones de la magnífica""","""Caminamos desde el callejón junto a la iglesia, que de repente se encuentra este enorme edificio blanco, situado entre las magníficas callejones. En el sol brillante blanca escalera provoca el deseo de subir a la cima de descubrir, pero por desgracia, no todas las puertas todos los días, ir a visitar a probar suerte. Hay escalera de al lado del narrador para explicar la historia Campus'd hacer una cosa interesante. Escuelas tienda de ropa o joyas escolares tráfico en la Gran Escalera, si está interesado.""",Taiwán,Chino,PC,10/3/2018
Masculino,37,Internacional,Excelente,5,15,"""Bellísimo""","""Parada obligatoria, arquitectura hermosa. Magnífica para la vista. No hay manera de ir en Guanajuato y no se dan cuenta este bello edificio.""",Italia,Italiano,PC,5/3/2018
Masculino,47,Internacional,Regular,3,2570,"""Hermoso""","""Cuenta con una hermosa arquitectura, que recuerda a una iglesia o un castillo medieval, pero una casa de estudio. Una lástima que no sea posible el acceso.""",Brasil,Portugés,Móvil,1/3/2018
Masculino,38,Nacional,Excelente,5,54,"""Hermosa Casa de Estudios""","""Es una de las más bellas construcciones de la ciudad, su escalinata es hermosa y vale la pena muchas fotos en ella , aunque siempre hay gente alrededor.""",México,Español,PC,1/3/2018
Masculino,43,Internacional,Muy bueno,4,216,"""Universidad de Guanajuato que es también estudiantes japoneses""","""Este escaleras Siempre hay una gran cantidad de personas que hacen símbolo de la Universidad de Guanajuato. En los alrededores vio una figura de estudiantes japoneses. Es un buen ambiente.""",Japón,Japonés,Móvil,25/2/2018
